value,message,target
meditation,May you be happy,someone close to me
meditation,May you be happy,someone I don't know that well
meditation,May you be happy,everyone in the world
meditation,May you be well,someone close to me
meditation,May you be well,someone I don't know that well
meditation,May you be well,everyone in the world
meditation,May you be safe,someone close to me
meditation,May you be safe,someone I don't know that well
meditation,May you be safe,everyone in the world
meditation,May you be at ease,someone close to me
meditation,May you be at ease,someone I don't know that well
meditation,May you be at ease,everyone in the world
meditation,May you be healthy,someone close to me
meditation,May you be healthy,someone I don't know that well
meditation,May you be healthy,everyone in the world
meditation,May you be peaceful,someone close to me
meditation,May you be peaceful,someone I don't know that well
meditation,May you be peaceful,everyone in the world
meditation,May you be joyful,someone close to me
meditation,May you be joyful,someone I don't know that well
meditation,May you be joyful,everyone in the world
control,May it be done often,Taking a shower or a bath to get clean
control,May it be done often,Checking the weather to see the forecast 
control,May it be done often,Gathering and taking out the trash
control,May it be done often,Doing the laundry to clean clothes
control,May it be done often,Heating up food in microwave
control,May it be done often,Doing the grocery shopping to buy food
control,May it be done often,Cleaning the kitchen counters
control,May it be done easily,Taking a shower or a bath to get clean
control,May it be done easily,Checking the weather to see the forecast 
control,May it be done easily,Gathering and taking out the trash
control,May it be done easily,Doing the laundry to clean clothes
control,May it be done easily,Heating up food in microwave
control,May it be done easily,Doing the grocery shopping to buy food
control,May it be done easily,Cleaning the kitchen counters
control,May it be done well,Taking a shower or a bath to get clean
control,May it be done well,Checking the weather to see the forecast 
control,May it be done well,Gathering and taking out the trash
control,May it be done well,Doing the laundry to clean clothes
control,May it be done well,Heating up food in microwave
control,May it be done well,Doing the grocery shopping to buy food
control,May it be done well,Cleaning the kitchen counters
